ensembl_gene_id;log2FoldChange;pvalue;padj;length;symbol;entrezgene;description;PR661W_Vec;PR661W_TRPM1;PR661W_TRPM1.norm.count.mean;PR661W_Vec.norm.count.mean;baseMean
ENSMUSG00000027750;0,844948016;3,2047E-235;4,2561E-231;8702;Postn;50706;"periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]";5192,916456;9327,516658;9327,516658;5192,916456;7260,216557
ENSMUSG00000032332;1,012134669;2,9934E-148;1,9878E-144;15228;Col12a1;12816;"collagen, type XII, alpha 1 [Source:MGI Symbol;Acc:MGI:88448]";2108,777926;4253,179793;4253,179793;2108,777926;3180,97886
ENSMUSG00000029661;0,838711343;9,09667E-96;4,0271E-92;12426;Col1a2;12843;"collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]";2134,12439;3816,778886;3816,778886;2134,12439;2975,451638
ENSMUSG00000001642;-0,851704774;7,97892E-74;2,6492E-70;8384;Akr1b3;11677;"aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]";2283,752215;1265,494602;1265,494602;2283,752215;1774,623408
ENSMUSG00000029304;-0,609825736;2,12097E-60;5,63373E-57;1648;Spp1;20750;"secreted phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:98389]";3195,806439;2094,134776;2094,134776;3195,806439;2644,970607
ENSMUSG00000106106;-0,72406832;2,24334E-55;4,96563E-52;2466;;;;2207,533486;1336,414001;1336,414001;2207,533486;1771,973744
ENSMUSG00000000031;-2,524180131;4,81868E-48;9,1424E-45;2460;H19;14955;"H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]";320,2382172;55,66974418;55,66974418;320,2382172;187,9539807
ENSMUSG00000031375;0,648943993;9,57023E-41;1,58878E-37;6099;Bgn;12111;"biglycan [Source:MGI Symbol;Acc:MGI:88158]";1634,846885;2563,47267;2563,47267;1634,846885;2099,159778
ENSMUSG00000022206;2,436011821;1,35762E-40;2,00339E-37;9389;Npr3;18162;"natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]";55,77417523;301,8184501;301,8184501;55,77417523;178,7963127
ENSMUSG00000035258;0,776961633;3,90967E-40;5,19243E-37;7416;Abi3bp;320712;"ABI gene family, member 3 (NESH) binding protein [Source:MGI Symbol;Acc:MGI:2444583]";1047,574112;1795,037454;1795,037454;1047,574112;1421,305783
ENSMUSG00000073530;3,122066657;5,56031E-40;6,71332E-37;10294;Pappa2;23850;"pappalysin 2 [Source:MGI Symbol;Acc:MGI:3051647]";26,12359547;227,4409507;227,4409507;26,12359547;126,7822731
ENSMUSG00000001506;0,903673734;1,97562E-38;2,18652E-35;6563;Col1a1;12842;"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]";695,9517128;1302,00307;1302,00307;695,9517128;998,9773912
ENSMUSG00000068748;1,792421271;9,55942E-36;9,76605E-33;14245;Ptprz1;19283;"protein tyrosine phosphatase, receptor type Z, polypeptide 1 [Source:MGI Symbol;Acc:MGI:97816]";114,2982026;395,9241276;395,9241276;114,2982026;255,1111651
ENSMUSG00000024164;0,58639519;1,10204E-35;1,04544E-32;5143;C3;12266;"complement component 3 [Source:MGI Symbol;Acc:MGI:88227]";1810,359188;2718,236826;2718,236826;1810,359188;2264,298007
ENSMUSG00000031596;1,679240478;1,03937E-32;9,20258E-30;9135;Slc7a2;11988;"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:MGI Symbol;Acc:MGI:99828]";123,8031264;396,4910293;396,4910293;123,8031264;260,1470778
ENSMUSG00000026043;0,935218864;5,99001E-30;4,97209E-27;9816;Col3a1;12825;"collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]";492,6419915;942,0205081;942,0205081;492,6419915;717,3312498
ENSMUSG00000015568;0,840674201;1,30643E-24;1,02063E-21;10478;Lpl;16956;"lipoprotein lipase [Source:MGI Symbol;Acc:MGI:96820]";517,2711021;926,374022;926,374022;517,2711021;721,822562
ENSMUSG00000074934;-1,123363697;9,18264E-23;6,77526E-20;4148;Grem1;23892;"gremlin 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1344337]";432,5039204;198,5289655;198,5289655;432,5039204;315,516443
ENSMUSG00000026193;0,322209882;1,68289E-22;1,17634E-19;11685;Fn1;14268;"fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]";4652,809625;5817,148125;5817,148125;4652,809625;5234,978875
ENSMUSG00000064337;0,522463646;2,21989E-18;1,47412E-15;955;mt-Rnr1;;"mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493]";1172,752165;1684,548318;1684,548318;1172,752165;1428,650241
ENSMUSG00000024529;0,591259602;3,59557E-18;2,27394E-15;4778;Lox;16948;"lysyl oxidase [Source:MGI Symbol;Acc:MGI:96817]";863,3937972;1300,755886;1300,755886;863,3937972;1082,074842
ENSMUSG00000026069;-1,404782436;4,85581E-17;2,93136E-14;6894;Il1rl1;17082;"interleukin 1 receptor-like 1 [Source:MGI Symbol;Acc:MGI:98427]";226,2052294;85,43208195;85,43208195;226,2052294;155,8186557
ENSMUSG00000042834;1,082031893;7,29842E-17;4,21436E-14;3908;Nrep;27528;"neuronal regeneration related protein [Source:MGI Symbol;Acc:MGI:99444]";185,7345792;393,2029996;393,2029996;185,7345792;289,4687894
ENSMUSG00000018593;0,419884092;1,28807E-16;7,12786E-14;3788;Sparc;20692;"secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]";1767,377803;2364,433493;2364,433493;1767,377803;2065,905648
ENSMUSG00000022103;1,139201662;2,38024E-16;1,26448E-13;3539;Gfra2;14586;"glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]";158,0567195;348,1343167;348,1343167;158,0567195;253,0955181
ENSMUSG00000023092;0,841387382;2,60956E-16;1,33298E-13;3714;Fhl1;14199;"four and a half LIM domains 1 [Source:MGI Symbol;Acc:MGI:1298387]";330,2811556;591,7886552;591,7886552;330,2811556;461,0349054
